epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4777.78,1.0108,0.8462,1.225,0.82199,0.70553,0.76575,0.42295,1.60554,1.11394,1.53665,0.006172,0.006172,0.006172
60,4850.21,1.00405,0.83775,1.22289,0.82005,0.69125,0.75506,0.4277,1.592,1.12149,1.49983,0.006106,0.006106,0.006106
61,4922.6,0.99778,0.83411,1.22399,0.77341,0.73866,0.76433,0.43422,1.60832,1.09931,1.52658,0.00604,0.00604,0.00604
62,4995.06,0.99331,0.819,1.21852,0.8156,0.70126,0.77913,0.43803,1.60611,1.08852,1.52082,0.005974,0.005974,0.005974
63,5070.43,0.98767,0.8217,1.21001,0.82492,0.69606,0.77654,0.43345,1.61217,1.09458,1.52225,0.005908,0.005908,0.005908
64,5146.65,1.00103,0.83327,1.21893,0.82344,0.70036,0.77932,0.44856,1.56081,1.08008,1.5013,0.005842,0.005842,0.005842
65,5219.57,0.99672,0.81923,1.21651,0.855,0.72713,0.80636,0.45654,1.5717,1.05023,1.5136,0.005776,0.005776,0.005776
66,5292.31,0.99043,0.81313,1.20873,0.84292,0.71361,0.79303,0.4536,1.58711,1.05653,1.50495,0.00571,0.00571,0.00571
67,5366.08,0.97534,0.81466,1.20496,0.80613,0.73164,0.78802,0.44888,1.62464,1.06215,1.54069,0.005644,0.005644,0.005644
68,5439.01,0.98894,0.81129,1.20741,0.81606,0.70824,0.77783,0.44749,1.60394,1.05621,1.52889,0.005578,0.005578,0.005578
69,5511.24,0.97348,0.80284,1.19872,0.83279,0.73164,0.79953,0.4586,1.58686,1.02991,1.51333,0.005512,0.005512,0.005512
70,5593.47,0.97142,0.79613,1.20005,0.81466,0.73102,0.77881,0.45307,1.60484,1.05266,1.53928,0.005446,0.005446,0.005446
71,5678.81,0.97196,0.79327,1.19815,0.85566,0.69554,0.78499,0.46125,1.56339,1.03521,1.50106,0.00538,0.00538,0.00538
72,5764.37,0.9693,0.78563,1.195,0.79716,0.74295,0.79497,0.45348,1.57854,1.02961,1.51666,0.005314,0.005314,0.005314
73,5850.63,0.95542,0.77764,1.19093,0.82317,0.73714,0.80907,0.45615,1.57444,1.0388,1.50483,0.005248,0.005248,0.005248
74,5936.07,0.95821,0.7667,1.18697,0.83527,0.74867,0.80198,0.45031,1.59988,1.04335,1.51135,0.005182,0.005182,0.005182
75,6027.74,0.94971,0.76718,1.18236,0.80107,0.75618,0.79254,0.44732,1.57529,1.04952,1.48114,0.005116,0.005116,0.005116
76,6113.25,0.95747,0.77388,1.18982,0.82562,0.73404,0.79662,0.45762,1.61301,1.03798,1.52566,0.00505,0.00505,0.00505
77,6198.82,0.96111,0.76455,1.18486,0.82261,0.73977,0.78407,0.45026,1.62666,1.03848,1.53081,0.004984,0.004984,0.004984
78,6284.32,0.94808,0.76877,1.18647,0.80658,0.7366,0.79048,0.44102,1.61887,1.04057,1.52115,0.004918,0.004918,0.004918
79,6369.1,0.95378,0.75382,1.17912,0.79222,0.73435,0.78175,0.4435,1.61317,1.03383,1.51559,0.004852,0.004852,0.004852
80,6457.04,0.9473,0.75991,1.18476,0.81441,0.73529,0.78042,0.44151,1.62899,1.03083,1.52081,0.004786,0.004786,0.004786
81,6532.74,0.93734,0.75493,1.17787,0.77733,0.76068,0.77994,0.44755,1.61611,1.0336,1.51204,0.00472,0.00472,0.00472
82,6603.39,0.94745,0.74913,1.17857,0.78039,0.76045,0.78054,0.44605,1.62118,1.04063,1.52641,0.004654,0.004654,0.004654
83,6674.03,0.94466,0.74171,1.17337,0.80925,0.74717,0.79013,0.4551,1.61025,1.03897,1.50127,0.004588,0.004588,0.004588
84,6748.68,0.92775,0.7354,1.17535,0.80954,0.73607,0.79168,0.4565,1.61849,1.02602,1.52371,0.004522,0.004522,0.004522
85,6828.43,0.93795,0.73616,1.17007,0.8555,0.71054,0.79738,0.4622,1.62196,1.00712,1.51562,0.004456,0.004456,0.004456
86,6906.52,0.925,0.73023,1.16513,0.86679,0.71454,0.80447,0.46122,1.62054,0.99168,1.51605,0.00439,0.00439,0.00439
87,6991.07,0.92396,0.72864,1.16759,0.84969,0.72805,0.80525,0.46281,1.61379,0.99681,1.51279,0.004324,0.004324,0.004324
88,7077.37,0.92573,0.72574,1.16009,0.87252,0.72759,0.80285,0.46535,1.59873,0.97854,1.50505,0.004258,0.004258,0.004258
89,7163.54,0.9138,0.71394,1.1596,0.81716,0.77267,0.80556,0.46269,1.6059,0.98284,1.50299,0.004192,0.004192,0.004192
90,7250.25,0.92657,0.72745,1.16636,0.81408,0.75781,0.80417,0.4642,1.59559,0.99354,1.5011,0.004126,0.004126,0.004126
91,7336.43,0.92311,0.71712,1.16236,0.7895,0.76946,0.79985,0.4654,1.59129,0.98909,1.49213,0.00406,0.00406,0.00406
92,7423.05,0.9147,0.70564,1.15719,0.80735,0.76854,0.79818,0.46392,1.58734,0.98744,1.49955,0.003994,0.003994,0.003994
93,7509.52,0.92054,0.70973,1.1565,0.81472,0.75416,0.79851,0.46364,1.57798,0.98734,1.49606,0.003928,0.003928,0.003928
94,7596.3,0.9141,0.70716,1.15508,0.79189,0.77409,0.79625,0.46299,1.58979,0.98734,1.50177,0.003862,0.003862,0.003862
95,7682.91,0.9106,0.71116,1.15384,0.79645,0.7703,0.79889,0.46382,1.58621,0.97699,1.50097,0.003796,0.003796,0.003796
96,7770.05,0.89685,0.6856,1.14889,0.81555,0.76079,0.80246,0.46906,1.57519,0.9707,1.49621,0.00373,0.00373,0.00373
